Id,FullName,Email,PasswordHash,PhoneNumber,RoleType,CreatedAt
admin-id-001,System Admin,admin@fixconnect.com,AQAAAAEAACcQAAAAE...,01000000000,Admin,2026-01-01
cust-id-001,Mohamed Zaki,customer1@gmail.com,AQAAAAEAACcQAAAAE...,01146913810,Customer,2026-03-15
cust-id-002,Hassan Said,customer2@gmail.com,AQAAAAEAACcQAAAAE...,01183197857,Customer,2026-03-15
cust-id-003,Ibrahim Zaki,customer3@gmail.com,AQAAAAEAACcQAAAAE...,01113999315,Customer,2026-03-15
cust-id-004,Ali Nabil,customer4@gmail.com,AQAAAAEAACcQAAAAE...,01190801586,Customer,2026-03-15
cust-id-005,Ali Nabil,customer5@gmail.com,AQAAAAEAACcQAAAAE...,01166306997,Customer,2026-03-15
cust-id-006,Khaled Ghanem,customer6@gmail.com,AQAAAAEAACcQAAAAE...,01110872248,Customer,2026-03-15
cust-id-007,Ibrahim Fawzy,customer7@gmail.com,AQAAAAEAACcQAAAAE...,01147295260,Customer,2026-03-15
cust-id-008,Youssef Said,customer8@gmail.com,AQAAAAEAACcQAAAAE...,01122448136,Customer,2026-03-15
cust-id-009,Youssef Fawzy,customer9@gmail.com,AQAAAAEAACcQAAAAE...,01191030736,Customer,2026-03-15
cust-id-010,Mahmoud Nabil,customer10@gmail.com,AQAAAAEAACcQAAAAE...,01126753883,Customer,2026-03-15
cust-id-011,Mostafa Ghanem,customer11@gmail.com,AQAAAAEAACcQAAAAE...,01194374605,Customer,2026-03-15
cust-id-012,Khaled Mansour,customer12@gmail.com,AQAAAAEAACcQAAAAE...,01119335534,Customer,2026-03-15
cust-id-013,Ali Ghanem,customer13@gmail.com,AQAAAAEAACcQAAAAE...,01120709497,Customer,2026-03-15
cust-id-014,Ibrahim Ghanem,customer14@gmail.com,AQAAAAEAACcQAAAAE...,01170855700,Customer,2026-03-15
cust-id-015,Hassan Fawzy,customer15@gmail.com,AQAAAAEAACcQAAAAE...,01157683626,Customer,2026-03-15
cust-id-016,Omar Said,customer16@gmail.com,AQAAAAEAACcQAAAAE...,01191756179,Customer,2026-03-15
cust-id-017,Mostafa Mansour,customer17@gmail.com,AQAAAAEAACcQAAAAE...,01131931511,Customer,2026-03-15
cust-id-018,Omar Nabil,customer18@gmail.com,AQAAAAEAACcQAAAAE...,01139476249,Customer,2026-03-15
cust-id-019,Ahmed Mansour,customer19@gmail.com,AQAAAAEAACcQAAAAE...,01114308421,Customer,2026-03-15
cust-id-020,Omar Said,customer20@gmail.com,AQAAAAEAACcQAAAAE...,01138317637,Customer,2026-03-15
cust-id-021,Youssef Mansour,customer21@gmail.com,AQAAAAEAACcQAAAAE...,01197971488,Customer,2026-03-15
cust-id-022,Mahmoud Salem,customer22@gmail.com,AQAAAAEAACcQAAAAE...,01145551614,Customer,2026-03-15
cust-id-023,Mostafa Nabil,customer23@gmail.com,AQAAAAEAACcQAAAAE...,01145264581,Customer,2026-03-15
cust-id-024,Ibrahim Hany,customer24@gmail.com,AQAAAAEAACcQAAAAE...,01163606628,Customer,2026-03-15
cust-id-025,Hassan Nabil,customer25@gmail.com,AQAAAAEAACcQAAAAE...,01176238574,Customer,2026-03-15
cust-id-026,Mohamed Salem,customer26@gmail.com,AQAAAAEAACcQAAAAE...,01194214382,Customer,2026-03-15
cust-id-027,Ibrahim Hany,customer27@gmail.com,AQAAAAEAACcQAAAAE...,01118526544,Customer,2026-03-15
cust-id-028,Khaled Hamdy,customer28@gmail.com,AQAAAAEAACcQAAAAE...,01181016525,Customer,2026-03-15
cust-id-029,Ahmed Said,customer29@gmail.com,AQAAAAEAACcQAAAAE...,01182070937,Customer,2026-03-15
cust-id-030,Youssef Said,customer30@gmail.com,AQAAAAEAACcQAAAAE...,01149392920,Customer,2026-03-15
cust-id-031,Mahmoud Zaki,customer31@gmail.com,AQAAAAEAACcQAAAAE...,01145351479,Customer,2026-03-15
cust-id-032,Mostafa Said,customer32@gmail.com,AQAAAAEAACcQAAAAE...,01193926371,Customer,2026-03-15
cust-id-033,Mostafa Hany,customer33@gmail.com,AQAAAAEAACcQAAAAE...,01136697396,Customer,2026-03-15
cust-id-034,Hassan Nabil,customer34@gmail.com,AQAAAAEAACcQAAAAE...,01181182864,Customer,2026-03-15
cust-id-035,Youssef Hamdy,customer35@gmail.com,AQAAAAEAACcQAAAAE...,01112614124,Customer,2026-03-15
cust-id-036,Omar Mansour,customer36@gmail.com,AQAAAAEAACcQAAAAE...,01117774584,Customer,2026-03-15
cust-id-037,Mohamed Said,customer37@gmail.com,AQAAAAEAACcQAAAAE...,01175228535,Customer,2026-03-15
cust-id-038,Hassan Salem,customer38@gmail.com,AQAAAAEAACcQAAAAE...,01198550256,Customer,2026-03-15
cust-id-039,Hassan Ghanem,customer39@gmail.com,AQAAAAEAACcQAAAAE...,01180823176,Customer,2026-03-15
cust-id-040,Ali Nabil,customer40@gmail.com,AQAAAAEAACcQAAAAE...,01136998038,Customer,2026-03-15
cust-id-041,Ibrahim Fawzy,customer41@gmail.com,AQAAAAEAACcQAAAAE...,01168800797,Customer,2026-03-15
cust-id-042,Mohamed Mansour,customer42@gmail.com,AQAAAAEAACcQAAAAE...,01140158366,Customer,2026-03-15
cust-id-043,Ahmed Hany,customer43@gmail.com,AQAAAAEAACcQAAAAE...,01184346088,Customer,2026-03-15
cust-id-044,Ali Zaki,customer44@gmail.com,AQAAAAEAACcQAAAAE...,01119528530,Customer,2026-03-15
cust-id-045,Ahmed Mansour,customer45@gmail.com,AQAAAAEAACcQAAAAE...,01119046318,Customer,2026-03-15
cust-id-046,Mohamed Nabil,customer46@gmail.com,AQAAAAEAACcQAAAAE...,01141944441,Customer,2026-03-15
cust-id-047,Mahmoud Mansour,customer47@gmail.com,AQAAAAEAACcQAAAAE...,01182374753,Customer,2026-03-15
cust-id-048,Khaled Hany,customer48@gmail.com,AQAAAAEAACcQAAAAE...,01173440831,Customer,2026-03-15
cust-id-049,Ibrahim Mansour,customer49@gmail.com,AQAAAAEAACcQAAAAE...,01122660194,Customer,2026-03-15
cust-id-050,Ibrahim Fawzy,customer50@gmail.com,AQAAAAEAACcQAAAAE...,01166851760,Customer,2026-03-15
cust-id-051,Ahmed Said,customer51@gmail.com,AQAAAAEAACcQAAAAE...,01118135295,Customer,2026-03-15
cust-id-052,Youssef Said,customer52@gmail.com,AQAAAAEAACcQAAAAE...,01143374088,Customer,2026-03-15
cust-id-053,Mostafa Hamdy,customer53@gmail.com,AQAAAAEAACcQAAAAE...,01128814949,Customer,2026-03-15
cust-id-054,Omar Hamdy,customer54@gmail.com,AQAAAAEAACcQAAAAE...,01143528453,Customer,2026-03-15
cust-id-055,Mostafa Said,customer55@gmail.com,AQAAAAEAACcQAAAAE...,01116789850,Customer,2026-03-15
cust-id-056,Ahmed Said,customer56@gmail.com,AQAAAAEAACcQAAAAE...,01141726318,Customer,2026-03-15
cust-id-057,Mahmoud Hamdy,customer57@gmail.com,AQAAAAEAACcQAAAAE...,01138688676,Customer,2026-03-15
cust-id-058,Hassan Radwan,customer58@gmail.com,AQAAAAEAACcQAAAAE...,01110289289,Customer,2026-03-15
cust-id-059,Mahmoud Ghanem,customer59@gmail.com,AQAAAAEAACcQAAAAE...,01166775103,Customer,2026-03-15
cust-id-060,Mostafa Hamdy,customer60@gmail.com,AQAAAAEAACcQAAAAE...,01130776478,Customer,2026-03-15
work-id-001,Ali Zaki,worker1@gmail.com,AQAAAAEAACcQAAAAE...,01287736262,Worker,2026-04-10
work-id-002,Ahmed Zaki,worker2@gmail.com,AQAAAAEAACcQAAAAE...,01288406989,Worker,2026-04-10
work-id-003,Mostafa Said,worker3@gmail.com,AQAAAAEAACcQAAAAE...,01234941004,Worker,2026-04-10
work-id-004,Ali Radwan,worker4@gmail.com,AQAAAAEAACcQAAAAE...,01226090908,Worker,2026-04-10
work-id-005,Ahmed Hany,worker5@gmail.com,AQAAAAEAACcQAAAAE...,01221003626,Worker,2026-04-10
work-id-006,Ali Fawzy,worker6@gmail.com,AQAAAAEAACcQAAAAE...,01242035886,Worker,2026-04-10
work-id-007,Omar Hamdy,worker7@gmail.com,AQAAAAEAACcQAAAAE...,01252436584,Worker,2026-04-10
work-id-008,Khaled Said,worker8@gmail.com,AQAAAAEAACcQAAAAE...,01219832887,Worker,2026-04-10
work-id-009,Hassan Fawzy,worker9@gmail.com,AQAAAAEAACcQAAAAE...,01219233013,Worker,2026-04-10
work-id-010,Mahmoud Nabil,worker10@gmail.com,AQAAAAEAACcQAAAAE...,01250603163,Worker,2026-04-10
work-id-011,Mostafa Ghanem,worker11@gmail.com,AQAAAAEAACcQAAAAE...,01299038526,Worker,2026-04-10
work-id-012,Mohamed Nabil,worker12@gmail.com,AQAAAAEAACcQAAAAE...,01230863865,Worker,2026-04-10
work-id-013,Youssef Mansour,worker13@gmail.com,AQAAAAEAACcQAAAAE...,01295125977,Worker,2026-04-10
work-id-014,Ahmed Said,worker14@gmail.com,AQAAAAEAACcQAAAAE...,01295132217,Worker,2026-04-10
work-id-015,Youssef Salem,worker15@gmail.com,AQAAAAEAACcQAAAAE...,01295511909,Worker,2026-04-10
work-id-016,Mostafa Radwan,worker16@gmail.com,AQAAAAEAACcQAAAAE...,01285283645,Worker,2026-04-10
work-id-017,Hassan Nabil,worker17@gmail.com,AQAAAAEAACcQAAAAE...,01214835614,Worker,2026-04-10
work-id-018,Ahmed Ghanem,worker18@gmail.com,AQAAAAEAACcQAAAAE...,01258942697,Worker,2026-04-10
work-id-019,Ali Said,worker19@gmail.com,AQAAAAEAACcQAAAAE...,01257469942,Worker,2026-04-10
work-id-020,Hassan Mansour,worker20@gmail.com,AQAAAAEAACcQAAAAE...,01231810617,Worker,2026-04-10
work-id-021,Youssef Radwan,worker21@gmail.com,AQAAAAEAACcQAAAAE...,01299913412,Worker,2026-04-10
work-id-022,Mohamed Radwan,worker22@gmail.com,AQAAAAEAACcQAAAAE...,01215197528,Worker,2026-04-10
work-id-023,Mahmoud Fawzy,worker23@gmail.com,AQAAAAEAACcQAAAAE...,01250962024,Worker,2026-04-10
work-id-024,Ali Radwan,worker24@gmail.com,AQAAAAEAACcQAAAAE...,01254058573,Worker,2026-04-10
work-id-025,Omar Fawzy,worker25@gmail.com,AQAAAAEAACcQAAAAE...,01296098221,Worker,2026-04-10
work-id-026,Mostafa Fawzy,worker26@gmail.com,AQAAAAEAACcQAAAAE...,01213704481,Worker,2026-04-10
work-id-027,Omar Zaki,worker27@gmail.com,AQAAAAEAACcQAAAAE...,01224549543,Worker,2026-04-10
work-id-028,Youssef Radwan,worker28@gmail.com,AQAAAAEAACcQAAAAE...,01291363974,Worker,2026-04-10
work-id-029,Khaled Mansour,worker29@gmail.com,AQAAAAEAACcQAAAAE...,01244188276,Worker,2026-04-10
work-id-030,Mostafa Mansour,worker30@gmail.com,AQAAAAEAACcQAAAAE...,01258884978,Worker,2026-04-10
work-id-031,Youssef Hany,worker31@gmail.com,AQAAAAEAACcQAAAAE...,01252133044,Worker,2026-04-10
work-id-032,Ibrahim Fawzy,worker32@gmail.com,AQAAAAEAACcQAAAAE...,01264009265,Worker,2026-04-10
work-id-033,Ibrahim Salem,worker33@gmail.com,AQAAAAEAACcQAAAAE...,01292613013,Worker,2026-04-10
work-id-034,Ahmed Ghanem,worker34@gmail.com,AQAAAAEAACcQAAAAE...,01248508907,Worker,2026-04-10
work-id-035,Khaled Fawzy,worker35@gmail.com,AQAAAAEAACcQAAAAE...,01272409658,Worker,2026-04-10
work-id-036,Mostafa Hamdy,worker36@gmail.com,AQAAAAEAACcQAAAAE...,01232775593,Worker,2026-04-10
work-id-037,Khaled Fawzy,worker37@gmail.com,AQAAAAEAACcQAAAAE...,01222534217,Worker,2026-04-10
work-id-038,Ali Salem,worker38@gmail.com,AQAAAAEAACcQAAAAE...,01213278320,Worker,2026-04-10
work-id-039,Khaled Said,worker39@gmail.com,AQAAAAEAACcQAAAAE...,01271124923,Worker,2026-04-10
